ItemNumber,sentence,checkNoteRelevant
11499,12.27.24 4 avail,
1150,ADD DIMENSIONS.,
11500,"CHECK IN AS #11498, #11499 and #11500 contact boards and #2718, #2719, #2720 contact strips.",
11500,10.3.23 Roland shows -5.,
11500,Our cost is $ 105.78,
11501,For PA588*  9.6.24 Available at Korg today.MM,
11502,Mates with #2400,
11504,Change to NEW when we restock,
11505,both part number nla,
11506,ADD PHOTO,
11507,"Ordered on eBay for $2.20 ea, Modwave added 8.22.24 KM.",
11507,"8.29.24 Added Kross61/73/88, Kingkorg added 1.23",
11508,ADD PHOTO WHEN AVAIL,
11510,ADD PHOTO and dimensions.,
11510,"For S70-XS, Not for S90-XS  12.9.22 Backordered",
11512,11.2.23-4.3.24 Roland has 25 available.,
11512,"This switch is out of production, n/a at Mouser or Digikey.",
11512,8.25.24-2.26.25 Roland has 22,
11513,"11.24.23 Cost increase from $ 239.00 to $ 289.50, increased price from $ 365.95 to 429.95.",
11513,"3.14.25 1-22748 and 1-22815 still on bo, Kross 88 added 3.31.25 KM",
11514,"#12887 is identical, except a bit longer, so it can be used as a sub if needed.",
11514,LP-380U added 1.24.25 KM,
11515,ADD PHOTO,
11517,ADD PHOTO,
11518,ADD PHOTO,
11520,Raised price 9/30/24.,
11520,SM,
11522,7.25.24 Yamaha verified NLA,
11525,Backorder was 2 mos.,
11525,#3710 is identical knob in black.,
11527,ADD PHOTO,
11528,"new part 5/1/23, 12.31.24 1 in transit",
11529,"new part 5/1/23, in transit 10/9",
11530,ADD PHOTO,
11531,ADD PHOTO,
11532,ADD PHOTO,
11534,"PHOTO SHOWS 2 SPEAKERS - so either make it a single speaker, or if there are two speakers as one part, then change the description.",
11536,in transit 7.3.24,
11537,ADD PHOTO,
11539,new part 3/10/23 KM,
11541,ADD PHOTO & LOCATION.,
11541,8.18.23 Yamaha verified NLA.MM,
11542,ADD PHOTO & LOCATION,
11543,ADD PHOTO,
11546,Backorder 4 mos,
11547,ADD PHOTO & LOCATION,
11548,ADD PHOTO and mounting dimensions,
11549,"The ZY595700 is in the SM for the black P515, and ZY595800 is for the white, but Yamaha confirmed that they are the same.",
1155,ADD PHOTO,
11551,ADD PHOTO,
11552,new part 3/20/23,
11553,"new part 3/20/23, in transit 10.18",
11554,Wrap with cardboard and in a package that allows no movement.,
11554,3.28.25 10-22872 processing,
11555,ADD PHOTO & LOCATION,
11556,"9.16.24 New Part, changed from NA to Yamaha.",
11556,"Sub part number ZF616800 rec'd from Yamaha, they have two available, we have wait list of 5, and Item Request from",
11557,"Same as #6908 except for color, 2 in transit 9.25",
11558,ADD PHOTO,
11559,1.3.23 Yamaha verified NLA.,
11559,ADD PHOTO,
1156,ADD PHOTO.,
1156,4.3.24-12.27.24 none avail,
11561,"We know this works for the Iridium synthesizer, the Iridium keyboard does not have parts list available yet.",
11561,Korg is selling for $8.50 on Reverb.,
11561,6.24.24 Korg shows NLA,
11562,"We know this works for the Iridium synthesizer, the Iridium keyboard does not have parts list available yet.",
11563,"Korg sells on Reverb for $22, says nla 12.18.24 supplier changed",
11565,"Not for Iridium keyboard, just for Iridium synthesizer",
11566,"We know this works for the Iridium synthesizer, the Iridium keyboard does not have parts list available yet.",
11566,2.17.25 Korg no longer Waldorf distributor so changed supplier to AM&S,
11567,2/6/23 - n/a from Mouser or Digikey.,
11567,Korg sells on Reverb for $6.,
11571,1.3.23 Backordered.,
11571,ADD PHOTO,
11573,1.3.23 Backordered.,
11573,ADD PHOTO & LOCATION,
11574, 5.8.23 Rec'd sub part number from Yamaha.,
11574,07.05.23 Backordered,
11575,Backorder was 3 months  11.26.24 Three missing.,
11575,3/22/25 - Found the missing 3 in A3!,
11575,SM,
11576,CHANGE TO NEW when we sell the current one.,
11577,1.4.23 Yamaha verified NLA.,
11578,new part 5/19/23.,
11578,Backorder was 2 mos,
11579,past bo 3 months,
11580,"Frequent Lengthy Backorder, consider keeping for stock if we sell three in 6 months time.",
11580,***State length of BO please.***.,
11580,9.21.24 1-22435 in transit,
11581,"1.4.23 Yamaha verified NLA
ADD PHOTO",
11583,ADD PHOTO,
11584,ADD PHOTO,
11585,ADD PHOTO,
11586,ADD PHOTO.,
11586,1.4.23 Frankie verified long out of production.,
11586,Response to Item Request,
11587,"Item Request for USB Type A Port (USB Device Port) , (works for ELS-02 Yamaha organ), 2 missing PO 22211 let it slide KM  2.8.24 Emailed Yamaha about the missing parts.MM",
11588,*** This Korg part number contains both #11442 and #11588.,
11588,***,
11589,"1-22514 canceled on 8.28.24, nla, supplier changed",
11590,1.18.23 Yamaha verified NLA.MM.,
11590,ADD PHOTO,
11592,ADD PHOTO,
11593,ADD PHOTO,
11595,ADD PHOTO,
11596,"If this cable is unavailable, #8747 can be used as a substitute.",
11597,"new part 2.28.24, 5 in transit 3.25",
1160,ADD PHOTO,
11600,in transit 12.26,
11601,ADD PHOTO AND LOCATION,
11604,add photo,
11605,CHECK IN AS MULTIPLE PARTS.,
11605,"11.13.22 Verified for Prologue 8 only, not Prologue 16",
11607,ADD PHOTO,
11608,"New part 3/20/23  Looks like it is the same as #11815, except for display color.",
11608,"10.7.24 Cost decrease from $44.55 to $41.02, decreased price from $89.95 to $79.95.MM",
1161,cost increase from $0.26 to $0.38 price not increased 10.27.23 KM,
11610,ADD PHOTO,
11611,3.14.25 1-22754 still on bo,
11612,These are used with #12041,
11614,ADD PHOTO & mounting dimensions,
11615,These can be cut to 12-note strips # 11616 (Roland does not give that part number in Go:Keys SMan).,
11615,10.3.23-2.6.24 862 avail 4.3.24 858 avail.,
11615,1.21.25 819 avail,
11616,Roland part MUST BE CUT to 12-note strip.,
11616,This part comes as 13-note strip.,
11616,"**PLEASE CHECK INVENTORY, showing 4 taken out of stock on the day we rec'd last delivery, then erase this note when stock is verified please.2.14.25**  9.18.24 893 avail.",
11616,12.26.24 829 avail.,
11616,1.21.25-2.3.25 819 avail,
11617,"Identical to 11768, except 11617 has screw mount on top.",
11618,ADD PHOTO & mounting dimensions,
11619,ADD PHOTO & LOCATION.,
11619,11.6.23 Yamaha verified nla,
11620,CLP-810 added from packing slip 1.9.24 KM,
11621,Similar to #10393 except for color,
11622,ADD PHOTO,
11623,ADD PHOTO,
11624,Backorder 3 mos,
11625,in transit 3.29,
11626,ADD PHOTO,
11627,New part 2/4/23,
11628,"works for pedal unit LP-1B, in transit 3.28",
11630,"Very similar to #12270, but NOT the same",
11631,Backorder was 1 mo.,
11633,2.6.23 Yamaha verified NLA.MM.,
11633,ADD PHOTO,
11634,ADD PHOTO & LOCATION,
11635,ADD PHOTO  2.7.23 Yamaha verified NLA.MM.,
11636,ADD PHOTO & LOCATION,
11637,Backorder was 2+ mos New part 4/23  This part info came from Yamaha.,
11644,Backorder 1 mo.,
11644,"3.24.23 Out of stock, so raised minimum",
11646,"5.10.23 1-21768 LOST # 89842, so canceled.",
11646,"7.26.23 5-21913 are processing, so eta is good.MM",
11649,ADD PHOTO,
11653,new part 4/10/23 KM.,
11653,2.18.23 Sam says to buy it when it is available.,
11653,"3.8.23 Cost decrease from $706.40 to $370.76, 2.28.24 Our cost is $519.06.",
11655,4.24.24 One missing,
11656,CHANGE TO NEW if all stock is new.,
11656,Backorder was 1 mo.,
11656,"1 new, 1 used in stock, 10/16/24",
11657,ADD PHOTO & LOCATION,
11659,"1.18.23 When inquiring about a sub part number for the main board, I was told that the main board has been replaced by a new part number for main board and a companion part for the headphones board.",
11659,See Part # 10709.MM,
11660,new part 1.6.25,
11661,ADD PHOTO,
11662,Frequent backorder 2 mos,
11664,ADD PHOTO & LOCATION,
11665,ADD PHOTO,
11666,ADD PHOTO,
11669,ADD PHOTO & LOCATION,
1167,"CHANGE TO NEW when restocking, adjust price.",
1167,1.26.21  Roland has none.MM,
11670,ADD PHOTO & LOCATION,
11671,New part rec'd 4.1.23.,
11671,Backorder was 6 weeks,
11672,ADD PHOTO.,
11672,6.7.24 Yamaha show NLA,
11673,ADD PHOTO.,
11673,6.7.24 Yamaha show NLA,
11674,ADD PHOTO,
11677,ADD PHOTO,
11678,Frequent backorder 1+ mo.,
11679,ADD PHOTO & KEY COUNT,
11680,"ADD KEY COUNT, in transit 12.11",
11681,CLP-170 added from packing list 12.2.24 KM,
11682,ADD PHOTO and increase price from $639.95 to $659.95,
11684,"Korg sells for $17.50 on Reverb  11.13.24 Shows nla on Korg, no longer on Reverb",
11686,"ADD PHOTO, and check keys.",
11686,Why do black keys have no contact strip tabs on them?!,
11686,?,
11687,"#11456, #11687, and #11694 are all nearly identical, only very slightly different in appearance.",
11688,ADD PHOTO & LOCATION,
11689,ADD PHOTO.,
11689,"When checking in, let me know so I can raise the price a little.MM",
11690,ADD PHOTO   Not listed for CVP-309,
11692,ADD PHOTO,
11693,ADD PHOTO,
11694,"#11456, #11687, and #11694 are all nearly identical, only very slightly different in appearance.",
11695,"ADD PHOTO, 10.26.24 Reduced price from $729.95 to $599.95.MM",
11696,ADD PHOTO.,
11696,8.9.24 Yamaha verified nla,
11697,ADD PHOTO.,
11697,5.1.24 Yamaha verified NLA,
11698,Backorder was 4 wks.,
11698,11.12.24 Avail,
11699,"Includes washer and nut, in transit 3.29",
1170,"8.15.24 1-22471 canceled by CAE, 8.15.24-12.1.24 none avail",
11700,Backorder 6 mos.,
11701,ADD PART NUMBER ON PCB - maybe this was already another part.,
11701,"2.17.23 New part , comes w contact strips
**** MERGED INTO 4240A ****",
11702, 1.31.23 New part.,
11702,5.31.23-7.18.23 Backordered.,
11702,7.25.23 James asked what this part number is for and what instrument it is for.,
11702,8.1.23 Replied with our photo and info.MM.,
11702,"8.3.23 1-21907. canceled by Korg, part now NLA.MM",
11703,ADD PHOTO,
11704,ADD PHOTO & LOCATION,
11705,ADD PHOTO,
11706,ADD PHOTO,
11707,ADD PHOTO,
11708,Backorder was 3 wks.,
11708,"2.21.25 Out of stock and backordered at Yamaha, so raised min from 2 to 4",
11709,"6.11.24 New part, added PSR-E453",
1171,Is this more than one board?,
1171,"5.27.22 Roland shows this part out of stock, price $55.19, G6 only.MM.",
1171,11.29.23 Roland shows NLA.MM,
11710,keep in stock for adding to keys (K132U and K131U)  Are there any that need it?,
11712,Is this the same as # 9730?,
11715,ADD PHOTO,
11716,"new part 4/25/23 , 12.5.23 have been out of stock since 11/17, 1-22046 and 1-22102 still on BO, raised minimum from 2 to 3.MM",
11717,ADD PHOTO & location,
11718,ADD PHOTO.,
11718,2.6.23.,
11718,Yamaha verified NLA.,
11721,ADD PHOTO,
11722,ADD PHOTO and raise price to $ 49.95 please.MM,
11723,ADD PHOTO,
11724,Backorder was 4 mos.,
11725,New part 05/31/23,
11726,ADD PHOTO,
11727,ADD PHOTO,
11728,Backorder was 2 mos,
11729,"MIDI connector, DIN B, in and out.",
11729,"Same as #11750, except #11729 only uses 3 pins per connector.",
11729,"Identical to #11736, but with metal face place.",
11730,ADD PHOTO,
11731,ADD PHOTO,
11732,"Same as #3487, but with mounting screw tab.",
11733,ADD PHOTO  11.2.23 Consumer price is $ 466.84,
11734,ADD PHOTO.,
11734,This is not for CP-4,
11736,New part 3/20/23.,
11736,"Identical to #11729, but without metal face place.",
11737,Add location and let Kayla know if this is correct part.,
11737,1.9.25 Price today $279.95 reduced to $259.95.,
11737,"Kayla, if price invoiced at $51.19 then decrease price more and more over time please.",
11737,"1.8.25 Yamaha sent corrected sub pn info, cost decrease from $165.38 to $51.19.",
11738,Sandwich tightly between two cardboards before shelving,
11739,Sandwich tightly between two cardboards before shelving,
11740,Backorder was 10 wks.,
11740,11.12.23 Cost decrease from $38.36 to 10.19.,
11740,1.26.24 Lowered price from $79.95 to $69.95.,
11740,"""leave note to lower to $49.95"" 1.26.24 TP changed price to 59.95 as noted.",
11741,"new part 4/28/23, Backorder 2 mos.",
11746,ADD PHOTO  2.14.23 Yamaha verified NLA,
11747,ADD PHOTO,
11749,ADD PHOTO,
1175,"2.7.24 Cost increase from $.31 to $.53, price not adjusted, 2.17.25 MO says Expected 3/25/2025",
11750," Same as #11729, except #11729 only uses 3 pins per connector.",
11752,"4/1/23 - Not listed on Mouser, Digikey has 30mm version.",
11752,SM,
11753,Backorder 6 wks,
11754,new part 2/27/23 KM,
11755,2 in transit 11.22,
11757,ADD PHOTO,
11758,ADD PHOTO   2.21.23 Yamaha verified nla,
11759,ADD PHOTO,
1176,ADD PHOTO WHEN AVAILABLE and specs,
11760,AD PHOTO   2.23.23 Yamaha verified NLA.,
11761,2.28.23 Last one!,
11761,"Yamaha verified nla , 1 on 22244 cancelled",
11762,2.28.23 Yamaha verified NLA.MM,
11763,new part 4/10/23 KM.,
11763,11.9.23 Roland has five.,
11763,3.3.24 Roland has three,
11764,"For DR-880, (Part # HG1306C-SYL-2 from Service Manual brought up LCD on Instrumental Parts, avail for Juno-Di as part number 51000047301).",
11764,5.26.24 4 avail.,
11764,"11.19.24 4 avail, our cost for # 5100014268 is $59.30.",
11764,12.1.24-12.26.24 3 avail.,
11764,2.26.25 2 avail,
11765,ADD PHOTO,
11767,"CHECK IN AS 3 boards (Part numbers #12380, #12381, #11767).",
11767,"Item request for KLM-3163 from cruxrepairs@gmail.com for main power/usb PCB, KLM-3163C.",
11767,Korg sells the 3 boards on Reverb for $266.25.,
11768,"new part 4/10/23 KM  Identical to 11617, except without screw mount on top.",
11768,", works for PSS-590 small MIDI keyboard from 1990",
11769,ADD PHOTO  4.3.24-12.1.24 none avail,
1177,ADD PHOTO WHEN AVAILABLE and specs,
11770,Not sure what this goes to,
11771,These came from EPR,
11772,CHANGE PRICE IF ORDERING NEW.,
11772,3/2/23 - Roland has no stock.,
11772,1.5.24-12.1.24 None avail.,
11772,"Cost is $137.24,  increased price from $79.95 with 8 on wait list to",
11775,#3710 and 11525 are identical except for color,
11776,Korg sells this for $121.88 on Reverb.,
11776,ADD PHOTO,
11777,ADD PHOTO & location.,
11777,Korg sells for $223.13 on Reverb.,
11778,ADD PHOTO.,
11778,"Korg sells for $55 on Reverb 1.20.25 No longer see on Reverb, still active on Korg site",
11779,"7.2.24 new part,  Korg sells on Reverb for $41.50.",
1178,"Take a better photo, add dimensions",
11780,"new part 3/28 KM ,  Korg sells on Reverb for $24.50.",
11782,ADD PHOTO.,
11783,ADD PHOTO,
11784,new part 3.28.24.,
11784,3.11.25 Backordered,
11785,ADD PHOTO,
11786,ADD PHOTO,
11787,ADD PHOTO AND LOCATION,
11788,new part 3/21/23,
11789,new part 3/21/23,
1179,ADD PHOTO,
11790,ADD PHOTO,
11791,ADD PHOTO & LOCATION,
11792,ADD PHOTO & LOCATION,
11793,ADD PHOTO,
11794,New part 10.16,
11795,ADD PHOTO & LOCATION,
11796,ADD PHOTO.,
11796,"When we get this, compare to # 11823, is it the same?",
11797,ADD PHOTO,
11798,"missing one on PO 22183 let it slide KM, in transit 2.25",
11799,ADD PHOTO,
11800,"Identical to #12015, except that #11800 has a 'spacer' sticker on each mounting tab.",
11800,Backorder was 2 mos.,
11800,", new part 5/16/23.",
11801,ADD PHOTO.,
11801,6.23.23 Yamaha verified NLA.MM,
11802,ADD PHOTO.,
11802,3.12.23 Backordered,
11803,"New part 3/20/23,",
11804,ADD PHOTO.,
11804,PLEASE RUN THE PRICE BY SAM BEFORE PUTTING IN STOCK.,
11804,3.15.23 Yamaha verified NLA,
11805,new part 4/19 KM,
11806,in transit 9.13,
11808,ADD PHOTO,
11809,ADD PHOTO & LOCATION,
1181,ADD PHOTO,
11812,ADD PHOTO,
11813,"ADD PHOTO & LOCATION, can weight be adjusted down?",
11814,ADD PHOTO.,
11814,Give to Sam.,
11814,Is this something we have the switch for?,
11814,Switch not listed in SM.MM,
11815,New part 3/20/23.,
11815,"Looks like it is the same as #11608, except for display color.",
11815,10.22.24 Rec'd Credit Memo # 404798 for $40.41 for damaged 1-22538.,
11816,"new part 4/28/23, Backorder was 6 weeks.",
11816,in transit 1.21,
11817,"Sell as single, new part 5/5/23,  3.13.23-4.7.23 Backordered",
11818,"Sell as single,  4.11.23 New part.",
11819,new part 5/5/23.,
11819,3.13.23-3.20.23 Backordered.,
1182,ADD PHOTO,
11821,new part 8.10.23,
11822,"Sell as single,  4.11.23 New part.",
11823,"For SX700, not for SX900",
11824,Backorder was 5 mos,
11825,"New part 5/19/23, in transit 10.4",
11826,ADD PHOTO & LOCATION,
11827,ADD PHOTO and WE NEED TO KNOW THE VALUE of this pot.,
11827,Sam or Nick can find that info on the pot and enter it in SynD.,
11827,1.5.24-2.23.25 None avail,
11828,new part 5/8/23 4.3.24 Roland shows -1.,
11828,5.26.24 Roland has four,
11829,new part 4/25/23,
1183,"C1 added 7.3.24 KM, LP-380U added 1.24",
11830,"Looks much like # 2594 if we can no longer get this one, can it sub?",
11831,"500620049729 comes w 4 each, 3 found 5/22 KM, Kronos 61 added 8.6.24 KM  Not listed for Kronos-2 88LS",
11832,ADD PHOTO,
11833,ADD PHOTO,
11834,ADD PHOTO.,
11835,ADD PHOTO.,
11835,6.7.24 Yamaha show NLA,
11836,New part 4/25/23.,
11836,"Roland 5100066239 includes: 11908 (High board), 12036 (Mid board), 11836 (Low board), 12033 (12-note strip x2), 12034 (13-note strip), 12031 (4-note strip x2), 12032 (8-note strip x2)",
11837,"Roland 5100066240 includes: 11837 (High board), 12036 (Mid board), 12450 (Low board), 12033 (12-note strip), 12031 (4-note strip), 12032 (8-note strip).",
11837,9.18.24 Roland has one,
11838,9.5.23 PSR-OR700 added from packing list,
11839,1.5.24 - 5.26.24 None avail.,
11839,8.15.24 Roland shows -4.,
11839,10.29.24-12.1.24 Roland shows -8,
1184,ADD PHOTO AND SPECS,
11840,ADD PHOTO - is this something we have already?,
11840,"When replacing No.1 AC INLET (#5100033643) for FANTOM-8, it is necessary to exchange the wiring connected to the inlet.",
11840,Same for Fantom-6 and Fantom-7.,
11840,4.3.23 - 5.26.24 none avail,
11841,THIS SHOULD BE TWO PARTS.,
11841,Is this only the mod wheel and not both the mod and pitch?,
11841,New part 4/25/23 Our cost (for the two but we only get one) is $19.46 plus shipping.,
11841,"1.24.25 Created # 13976 for the pitch bend, hopefully this part number gets us both.MM  2.3.25-2.11.25 none avail",
11842,11.9.23-11.19.23 Roland site shows -3.,
11842,11.29.23 Roland has 2.,
11842,12.28.23 2-22124 canceled by CAE.,
11842,Roland shows -3.,
11842,1.5.24 Roland has two.,
11842,"4.19.24 Elena emailed she got 3 that we canceled, told her to send them on.",
11843,new part 5.17.23.,
11843,11.9.23 -3.11.24 Roland has 2.,
11844,NEW PIC IF NEEDED VERY IMPORTANT available at YA 10.5.23.,
11844,9.30.24 Missing two.,
11844,"11.6 1-22579 still on BO, 1 in transit 11.17.24 Yamaha shows 1-22579 delivered 11/11/24, 12.7.24 1 in transit",
11845,*** Some socketed chips are missing in this photo.,
11845,Take a new pic when possible.,
11845,***,
11846,"Roland part is 2-set, check in as 2 singles",
11847,new part 4/20/23,
11848,New part 4/25/23.,
11848,9.18.24 Roland has one,
11849,Must check in as MULTIPLE PARTS 1.5.24 # 5100060194 shows nla none # 5100060203 avail.,
11849,8.15.24 Roland shows -1.,
11849,9.16.24 Roland shows -2.,
11849,11.20.24-12.27.24 none avail,
1185,ADD PHOTO,
11850,7.30.24-9.18.24 Roland has three.,
11850,Our cost $421 plus shipping 9.18.24 Emailed ckhaing@gmail.com that we can take Special Order.,
11850,11.20.24 2 avail.,
11850,12.27.24-2.24.25 one avail,
11851,3.19.23 Roland is -1,
11852,We only get this when we order #10608 jack board,
11853,New part 4/25/23.,
11853,11.9.23 Roland has 2.MM.,
11853,4.3.24 Roland shows -3.,
11853,"8.15.24 2-22471 cqnceled by CAE, Roland shows none avail **One of these in on A208 (didn't fit in box)**",
11854,New part 4/25/23.,
11854,11.9.23 7 avail.,
11854,2.6.24 3 avail.,
11854,5.26.24 Roland shows -2.,
11854,11.4.24 10 avail.,
11854,12.27.24 8 avail.,
11854,Our cost $`18.83 plus shipping.,
11854,2.26.25 3 avail,
11855,"Adjust the weight if necessary , new part 4/25/23.",
11855,"11.9.23 Roland shows -1.MM  11.29.23 Roland has four, one on wit list.MM  12.28.23 2-22124 canceled by CAE.",
11855,Roland shows -1.,
11855,1.1.24 2-22162 canceled by CAE.,
11855,4.3.24 Roland shows -3,
11856,new part 4/25/23.,
11856,11.9.23 Roland shows -1.MM  11.29.23 Roland has 4.,
11856,12.28.23 2-22124 canceled by CAE.,
11856,Roland shows -1.,
11856,4.3.24 Roland shows -3.,
11856,12.27.24 1 avail,
11857,Backorder was 5 mos.,
11857,"new part 08/14/23  3.17.25 2-22755, 2-22764, 2-22779 and 3-22817 still on bo,
Overstock in U4 -MS",
11858,Frequent Backorder 2 mos.,
11858,in transit 2.7.25,
1186,ADD PHOTO AND SPECS,
11860,"This will replace # 3487 added to some Models in error, Kronos2 61 and 73 added 1.30.25 KM Kronos 61, 73, X-61, X-73, X-88, and 88 added 3.28",
11862,3.23.23 Roland has five.,
11863,Overstock is upstairs,
11864,"Sam says he will buy somewhere else, so do not order from Korg.",
11864,"Look at Goodwill , MicroArranger added 8.21.24 still available at KO KM, SP250 added 9.16",
11865,ADD PHOTO & LOCATION,
11866,PHOTO Take a NEW PIC of the whole music rest.,
11866,Check to see if weight adjustment can be made,
11867,ADD PHOTO,
11869,"new part 10.27.23, Backorder was 7 mos",
11870,"Item weight is inflated to five pounds to cover insured shipping cost (so leave it), expect 2nd week of April 3.5",
11871,"Frequent Backorder 3 mos , supplier changed 3.5.25",
11872,new part 3/28 KM.,
11872,Korg sells on Reverb for $5,
11874,new part 3/28/23 KM,
11875,new part 3/28/23 KM Korg sells for $5 on Reverb.,
11876,"10.3.24 Cost increase from $119.50 to $160.00, Price on Reverb $179.25 + $25 shipping, so $204.25.",
11876,Ours with shipping is $259.90.,
11876,Price increase from $199.95 to $259.95.MM.,
11876,1.27.25 Rec'd confirmation of price.,
11876,1.28.25 1-22776 on order,
11877,new part 3/28/23 KM  Korg sells on Reverb for $5.,
11877,Please add measurements for this button.,
11877,Vox Continental added 3.24.25 KM,
11878,"new part 3/28/23 KM,  Korg sells on Reverb for $5",
11879,ADD PHOTO.,
11879,Korg sells on Reverb for $114,
11880,ADD PHOTO.,
11880,Korg sells on Reverb for $211.88.,
11881,ADD PHOTO & LOCATION,
11882,ADD PHOTO.,
11882,1.5.24 - 5.26.24 None avail,
11884,"ADD PHOTO, Kronos 2-88LS added 3.28.25 KM made available",
11885,ADD PHOTO.,
11885,Not for Kronos 2 models,
11886,ADD PHOTO & location,
11887,2.13.25 Korg verified nla,
11888,ADD Photo,
11889,"new part 4/11/23 , Korg sells for $15 on Reverb.",
11889,This does not fit B2.,
11889,9.6.23 Showed 1-21779 not rec'd.,
11889,"Corrected that none are on order, that one was rec'd on 4/11/23.MM",
1189,"2 at Hickory, 3 in U4",
11890,CLIP OFF CORNER POSTS BEFORE STOCKING.,
11890,"(Clip down to the step in the post, do not clip off the whole thing.).",
11890,"#4981 can be used for TR-808, but has center-side motion",
11891,"Fits #1593, 5371 jacks",
11894,"Identical to Prophet-5 knob (#4735), less face cap, except it fits onto a knurled shaft",
11899,new part 4/17/23  Backorder 2 mos,
11901,Backorder was 2 mos New part 5/10/23,
11902,Backorder 7+ mos,
11903,"new part 5/10/23, 4 in transit 7.19.24",
11904,ADD PHOTO & LOCATION,
11906,"new part 4/19/23 KM, 2 in transit 8.19",
11907,ADD PHOTO.,
11907,Request sub part number,
11908,"Roland 5100066239 includes: 11908 (High board), 12036 (Mid board), 11836 (Low board), 12033 (12-note strip x2), 12034 (13-note strip), 12031 (4-note strip x2), 12032 (8-note strip x2)",
1191,ADD PHOTO,
11910,ADD PHOTO.,
11911,new part 4/20/23,
11913,5.30.23 New part.,
11913,**1.11.25 # ZR097200 is verified in SM for CLP-685 with (ZR09750)(YH157G0) in Remarks in SM.,
11913,"** Cost increase from $18.45 to $21.70, in transit 1.21",
11914,New part 5/19/23.,
11914,"Backorder was 6 wks , works for CSP-255",
11915,7.2.23 Not found in SM for CLP-775,
11916,MAKE SURE MOUSER PART HAS BLANK BLACK SWITCH FACE.,
11916,Probably something we already list.,
11916,"Cost raised from $5 to $12.75 price raised from $15.95 to $22.95 1/13/25 KM, Kronos X-61 and X-88 added 3.28",
11917,new part 4/24/23,
11918,New part 4/24/23,
11919,ADD PHOTO.,
11919,Item request for YC61,
1192,Additional shank pieces can be used for added length and offsets.,
11920,Need to over-write photo before taking off HOLD,
11921,ADD PHOTO.,
11921,See if weight can be adjusted,
11922,ADD PHOTO.,
11922,See if weight can be adjusted,
11923,11.8.24 Yamaha shows nla  11.27.24 Req'd info from Yamaha.,
11923,12.3.24 Yamaha verified nla,
11926,ADD PHOTO,
11927,ADD PHOTO,
11928,ADD PHOTO & location,
11929,ADD PHOTO,
11931,in transit 2.12,
11933,ADD PHOTO.,
11933,TECH CHECK REQUIRED.,
11933,Request for Kayla to increase price from 699 to 729 once photo is uploaded please.,
11933,1.12.25 Cost increase from $450.18 to $542.91 so increased price from $599 to $699.MM.,
11934,ADD PHOTO & LOCATION,
11935,ADD PHOTO & LOCATION,
11938,ADD PHOTO,
11939,New part 05/31/23  Backorder 1 month,
1194,ADD PHOTO.,
1194,7.12.22 Shows NLA on Roland site.MM,
11940,1.11.25 # ZR097100 shows in SM for CLP-685,
11941,ADD PHOTO & KEY COUNT.,
11941,1.15.25 # ZR097300 is verified in SM for CLP-825,
11942,"new part 10.17.23  If ordering three within a few months, change to Stocked item please.MM.",
11942,10.25.23,
11946,ADD PHOTO,
11947, new part 4/24/23,
11948,This is 235a from SM,
1195,*** NEED BETTER PIC OF THIS ***,
11950,This is 235c in SMan,
11951,4.10.23-7.18.23  Backordered.,
11951,"cost with shipping $8.55.MM , part # nla so supplier changed 4.16 KM  *** AM&S is now the Waldorf distributor.",
11952,ADD PHOTO,
11953,Backorder was 5 wks.,
11953,New part 6.2.23,
11954,new part 5/24/23.,
11954,5.21.24 1-22248 in transit,
11955,"6.2.23 New part, USED.",
11955,"2.24.25 Ordering NEW, 1 in transit 2.25",
11957,Backorder was 1 mo,
11958,New part 5/15/24,
11959,New part 4/24/23,
1196,ADD PHOTO,
11960,ADD PHOTO,
11961,Overstock is upstairs.,
11961,More stock may be available from Cy.,
11962,Overstock is upstairs,
11963,Cy may have more of these,
11964,Overstock is upstairs,
11965,Cy may have more of these,
11966,sweetdiscrete.co.uk,
11969,Possibly avail from Yamaha,
11970,These came from Oberheim,
11974,Can make this a special order NEW part when this used one is sold.,
11976,"Check in as FOUR separate parts, (#9736), (#9702), (#9738), (#11976)  Backorder was 11+mos  **State length of BO  please*  AND TAKE OFF UNKNOWN ETA PLEASE 1.28.25 1-22199, 1-22237, 3-22469 &1-22479 on bo,11.27 KM, exp late February 12.3.24  3.14.25 Eight still on BO",
11978,new part 5/2/23,
11979,Order from Hernan at info@sintetizadores.com.ar.,
11979,He ships via a really slow surface transport.,
1198,"1.15.24 # 510646502018 active pn, 14 on wait list, added SP280.MM  12.8.24 Part available from Korg, LP-180 added 1.24",
11981,ADD PHOTO and location,
11982,"ADD PHOTO , part # nla 2.7.24.",
11982,2.8.24 Yamaha verified NLA.,
11983,ADD PHOTO,
11984,ADD PHOTO.,
11984,Should weight be adjusted?,
11985,ADD PHOTO,
11986,"10.31.23 Consumer price $11.96, in transit 8.13.24",
11987,ADD PHOTO.,
11987,What keys are these?,
11987,Are these K133U?,
11987,Please let Mary know.,
11988,Frequent Backorder 3 mos.,
11988,4.12.24 2-22340 on BO,
11989,ADD PHOTO,
11991,2 in transit 9.11.24,
11992,ADD PHOTO,
11993,ADD PHOTO,
11994,Item Request,
11995,STOCK AS TWO PARTS: 11995 and 12564.,
11995,Not for AX-Edge  New part 9/22/23.,
11995,7.14.24-2.26.25 Roland shows as nla,
11996,ADD PHOTO & DIMENSIONS.,
